Ball Number,Score,Comment
10.4,1,"Shubham Ranjane to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes forward to take fast ball of full length aimed on the off stump, executing a confident drive that sent the ball sailing towards deep cover for 1 run."
10.3,4,"Shubham Ranjane to Anamul Haque Bijoy, Four, Four !! fast ball, full length, on the off stump, Anamul Haque Bijoy elegantly goes forward into the shot, gracefully guides it to long off region, the ball speeds away and finds the boundary rope."
10.3,1nb,"Shubham Ranjane to Anamul Haque Bijoy, 1 no ball, No ball !! outswinger, good length, on the off stump, Shubham Ranjane sends down a delivery outside the off stump, and Anamul Haque Bijoy goes forward and watches it closely, deciding to let ball go to the keeper. Umpire signals it a no ball."
10.2,1,"Shubham Ranjane to Ryan Burl, 1 run, An accurately pitched fast ball on the leg stump, Ryan Burl goes forward to make a confident flick shot, sending the ball towards deep square leg for 1 run."
10.1,1,"Shubham Ranjane to Anamul Haque Bijoy, 1 run, Shubham Ranjane delivers fast ball at good length, Anamul Haque Bijoy goes forward and plays the shot, but the ball goes straight to the fielder at deep cover for 1 run."
9.6,1,"Alauddin Babu to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes forward to take fast ball of good length aimed on the off stump, executing a confident defensive shot that sent the ball sailing towards deep mid wicket for 1 run."
9.5,1,"Alauddin Babu to Ryan Burl, 1 run, An accurately pitched fast ball on the off stump, Ryan Burl goes forward to make a confident drive, sending the ball towards deep cover for 1 run."
9.4,0,"Alauddin Babu to Ryan Burl, no run, Dot ball !! fast ball, good length, on the stumps, Ryan Burl goes forward, tucks defensive shot toward the fielder at short mid wicket, who halts the ball."
9.3,1,"Alauddin Babu to Anamul Haque Bijoy, 1 run, fast ball, good length, on the off stump, goes back, plays cut, towards the third man for 1 run."
9.2,1,"Alauddin Babu to Ryan Burl, 1 run, An accurately pitched fast ball on the stumps, Ryan Burl goes forward to make a confident defensive shot, sending the ball towards mid on for 1 run."
9.1,W,"Alauddin Babu to Yasir Ali Chowdhury, no run, c T Hasan b A Babu, Caught out !! fast ball, good length, on the off stump, A risky shot choice by Yasir Ali Chowdhury as the batter hangs in the crease to strike it towards long off, only to get an edge that goes straight into the hands of Tanzid Hasan for a soft dismissal. c T Hasan b A Babu"
8.6,1,"Nazmul Islam to Yasir Ali Chowdhury, 1 run, arm ball, good length, on the stumps, goes back, plays push, towards the deep square leg for 1 run."
8.5,1,"Nazmul Islam to Anamul Haque Bijoy, 1 run, An accurately pitched off break ball on the off stump, Anamul Haque Bijoy goes forward to make a confident defensive shot, sending the ball towards short mid wicket for 1 run."
8.4,1,"Nazmul Islam to Yasir Ali Chowdhury, 1 run, An accurately pitched off break ball on the stumps, Yasir Ali Chowdhury goes forward to make a confident flick shot, sending the ball towards deep square leg for 1 run."
8.3,0,"Nazmul Islam to Yasir Ali Chowdhury, no run, Dot ball !! off break ball, good length, on the off stump, Yasir Ali Chowdhury goes back and slash cut towards point, but the fielder reacts promptly and blocks it right away."
8.2,0,"Nazmul Islam to Yasir Ali Chowdhury, no run, Dot ball !! off break ball, full length, on the stumps, Yasir Ali Chowdhury goes forward, tucks defensive shot toward the fielder at short cover, who halts the ball."
8.1,1,"Nazmul Islam to Anamul Haque Bijoy, 1 run, Anamul Haque Bijoy goes back and plays a well-timed defensive shot off an top spinner delivers at a good length by the bowler, but the ball lands safely in the hands of the fielder at short mid wicket for 1 run. Dropped catch"
7.6,0,"Chaturanga de Silva to Yasir Ali Chowdhury, no run, Dot ball !! arm ball, good length, on the off stump, goes back, tried cut but fails to get bat on it."
7.5,0,"Chaturanga de Silva to Yasir Ali Chowdhury, no run, Dot ball !! off break ball, full length, on the stumps, Yasir Ali Chowdhury goes forward and dabs defensive shot, but the fielder reacts promptly and blocks it right away."
